mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
11	11	0	0	3/4	2	1	i]					g	iv	i	i		i							m	1	1	0, -3, 1		0	0	1	5	0.16666666666666666	0.0625	1.4375	0.041666666666666664
11	11	3/8	3/8	3/4	2	1	i.#viio6					g	i		#viio6		#vii	o	6					o	1	1	3, 0, 6		6	3	0	3	0.0	0.0	0.375	0.0
11	11	1/2	1/2	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	0	4	0.0	0.0	0.375	0.0
11	11	5/8	5/8	3/4	2	1	Fr6					g	i		Fr6	Fr	V		43	b5	V			Fr	1	1	-3, 1, 3, 7		3	-3	0	4	0.0	0.0	0.375	0.0
12	12	0	0	3/4	2	1	V(4)					g	i		V(4)		V			4				M	1	1	2, 1, 3		2	2	0	3	0.0	0.0	0.9375	0.0
12	12	3/16	3/16	3/4	2	1	V\\					g	i		V		V						\\	M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	0.1875	0.0
12	12	3/8	3/8	3/4	2	1	V6					g	i		V6		V		6					M	1	1	6, 3, 2		2	6	0	4	0.0	0.0	0.3125	0.0
12	12	1/2	1/2	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	1	3	0.25	0.0625	0.3125	0.16666666666666666
12	12	5/8	5/8	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.09375	0.28125	0.25
13	13	0	0	3/4	2	1	V7(4)					g	i		V7(4)		V		7	4				Mm7	1	1	2, 1, 3, 0		2	2	0	4	0.0	0.0	1.25	0.0
13	13	1/8	1/8	3/4	2	1	V7\\					g	i		V7		V		7				\\	Mm7	1	1	2, 6, 3, 0		2	2	1	2	0.3333333333333333	0.03125	0.21875	0.125
13	13	3/8	3/8	3/4	2	1	V6					g	i		V6		V		6					M	1	1	6, 3, 2		2	6	0	4	0.0	0.0	0.3125	0.0
13	13	1/2	1/2	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	1	3	0.25	0.0625	0.3125	0.16666666666666666
13	13	5/8	5/8	3/4	2	1	Fr6					g	i		Fr6	Fr	V		43	b5	V			Fr	1	1	-3, 1, 3, 7		3	-3	0	5	0.0	0.0	0.375	0.0
14	14	0	0	3/4	2	1	V\\					g	i		V		V						\\	M	1	1	2, 6, 3		2	2	2	8	0.2	0.09375	1.15625	0.075
15	15	0	0	3/4	2	1	VI.V[V7					g	VI	V	V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2	-2	4	20	0.16666666666666666	0.25	2.0	0.1111111111111111
16	16	0	0	3/4	2	1	I					g	VI	V	I		I							M	1	0	-3, 1, -2		-3	-3	4	24	0.14285714285714285	0.125	2.3125	0.05128205128205128
17	17	0	0	3/4	2	1	V7					g	VI	V	V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2	-2	11	28	0.28205128205128205	0.34375	1.90625	0.1527777777777778
18	18	0	0	3/4	2	1	I(7)					g	VI	V	I(7)		I			7				M	1	0	-3, 1, -2	2	-3	-3	1	7	0.125	0.0	0.75	0.0
18	18	1/4	1/4	3/4	2	1	I					g	VI	V	I		I							M	1	0	-3, 1, -2		-3	-3	2	13	0.13333333333333333	0.0625	1.25	0.047619047619047616
19	19	0	0	3/4	2	1	V7]\\					g	VI	V	V7		V		7				\\	Mm7	1	0	-2, 2, -1, -4		-2	-2	3	30	0.09090909090909091	0.125	3.375	0.03571428571428571
20	20	1/4	1/4	3/4	2	1	V7					g	VI		V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2	-2	7	9	0.4375	0.21875	0.28125	0.4375
21	21	0	0	3/4	2	1	I					g	VI		I		I							M	1	0	-3, 1, -2		-3	-3	3	4	0.42857142857142855	0.1875	0.8125	0.1875
21	21	1/4	1/4	3/4	2	1	I6					g	VI		I6		I		6					M	1	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.625	0.0
21	21	3/8	3/8	3/4	2	1	IV					g	VI		IV		IV							M	1	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.375	0.0
21	21	1/2	1/2	3/4	2	1	V7					g	VI		V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2	-2	0	5	0.0	0.0	0.625	0.0
21	21	5/8	5/8	3/4	2	1	iv.V65					g	iv		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5	0	4	0.0	0.0	0.375	0.0
22	22	0	0	3/4	2	1	i					g	iv		i		i							m	1	1	0, -3, 1		0	0	2	4	0.3333333333333333	0.125	0.875	0.125
22	22	1/4	1/4	3/4	2	1	i6					g	iv		i6		i		6					m	1	1	-3, 1, 0		0	-3	0	3	0.0	0.0	0.5	0.0
22	22	3/8	3/8	3/4	2	1	iv					g	iv		iv		iv							m	1	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
22	22	1/2	1/2	3/4	2	1	V7(9)					g	iv		V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1	0	6	0.0	0.0	0.75	0.0
22	22	5/8	5/8	3/4	2	1	V7					g	iv		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	1	3	0.25	0.0625	0.1875	0.25
23	23	0	0	3/4	2	1	i					g	iv		i		i							m	1	1	0, -3, 1		0	0	2	5	0.2857142857142857	0.125	0.875	0.125
23	23	1/4	1/4	3/4	2	1	i.#viio65					g	i		#viio65		#vii	o	65					o7	1	1	3, 0, -3, 6		6	3	0	4	0.0	0.0	0.5	0.0
23	23	3/8	3/8	3/4	2	1	V65					g	i		V65		V		65					Mm7	1	1	6, 3, 0, 2		2	6	0	5	0.0	0.0	0.5	0.0
23	23	1/2	1/2	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	1	4	0.2	0.0625	0.4375	0.125
23	23	5/8	5/8	3/4	2	1	Fr6					g	i		Fr6	Fr	V		43	b5	V			Fr	1	1	-3, 1, 3, 7		3	-3	0	5	0.0	0.0	0.5	0.0
24	24	0	0	3/4	2	1	V(4)					g	i		V(4)		V			4				M	1	1	2, 1, 3		2	2	0	4	0.0	0.0	1.1875	0.0
24	24	3/16	3/16	3/4	2	1	V\\					g	i		V		V						\\	M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	0.1875	0.0
24	24	3/8	3/8	3/4	2	1	V6					g	i		V6		V		6					M	1	1	6, 3, 2		2	6	0	4	0.0	0.0	0.3125	0.0
24	24	1/2	1/2	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	1	3	0.25	0.0625	0.3125	0.16666666666666666
24	24	5/8	5/8	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.09375	0.28125	0.25
25	25	0	0	3/4	2	1	V7(4)					g	i		V7(4)		V		7	4				Mm7	1	1	2, 1, 3, 0		2	2	0	4	0.0	0.0	0.875	0.0
25	25	1/8	1/8	3/4	2	1	V7\\					g	i		V7		V		7				\\	Mm7	1	1	2, 6, 3, 0		2	2	1	2	0.3333333333333333	0.03125	0.21875	0.125
25	25	3/8	3/8	3/4	2	1	V6					g	i		V6		V		6					M	1	1	6, 3, 2		2	6	0	4	0.0	0.0	0.3125	0.0
25	25	1/2	1/2	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	1	3	0.25	0.0625	0.3125	0.16666666666666666
25	25	5/8	5/8	3/4	2	1	Fr6					g	i		Fr6	Fr	V		43	b5	V			Fr	1	1	-3, 1, 3, 7		3	-3	0	5	0.0	0.0	0.375	0.0
26	26	0	0	3/4	2	1	V\\					g	i		V		V						\\	M	1	1	2, 6, 3		2	2	4	8	0.3333333333333333	0.13541666666666666	1.1145833333333333	0.10833333333333332
27	27	0	0	3/4	2	1	i[V7/iv					g	i	i	V7/iv		V		7		iv			Mm7	1	1	1, 5, 2, -1		1	1	3	24	0.1111111111111111	0.15625	2.34375	0.0625
28	28	0	0	3/4	2	1	iv					g	i	i	iv		iv							m	1	1	0, -3, 1		0	0	2	16	0.1111111111111111	0.125	1.875	0.0625
28	28	1/2	1/2	3/4	2	1	iio6					g	i	i	iio6		ii	o	6					o	1	1	0, -3, 3		3	0	4	7	0.36363636363636365	0.34375	0.34375	0.5
29	29	0	0	3/4	2	1	#viio6					g	i	i	#viio6		#vii	o	6					o	1	1	3, 0, 6		6	3	2	6	0.25	0.28125	0.46875	0.375
29	29	1/4	1/4	3/4	2	1	V43					g	i	i	V43		V		43					Mm7	1	1	3, 0, 2, 6		2	3	4	14	0.2222222222222222	0.625	1.0	0.38461538461538464
30	30	0	0	3/4	2	1	i\\					g	i	i	i		i						\\	m	1	1	1, -2, 2		1	1	2	16	0.1111111111111111	0.125	1.875	0.0625
30	30	1/2	1/2	3/4	2	1	i]					g	i	i	i		i							m	1	1	1, -2, 2		1	1	3	9	0.25	0.09375	0.625	0.13043478260869565
31	31	0	0	3/4	2	1	iv6					g	i		iv6		iv		6					m	1	1	-3, 1, 0		0	-3	3	3	0.5	0.3125	0.375	0.45454545454545453
31	31	3/16	3/16	3/4	2	1	III6					g	i		III6		III		6					M	1	1	2, -1, -2		-2	2	2	1	0.6666666666666666	0.25	0.125	0.6666666666666666
31	31	5/16	5/16	3/4	2	1	iio6					g	i		iio6		ii	o	6					o	1	1	0, -3, 3		3	0	0	3	0.0	0.0	0.375	0.0
31	31	7/16	7/16	3/4	2	1	#viio6					g	i		#viio6		#vii	o	6					o	1	1	3, 0, 6		6	3	0	1	0.0	0.0	0.0625	0.0
31	31	1/2	1/2	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.0625	0.3125	0.16666666666666666
31	31	5/8	5/8	3/4	2	1	viio43/V	-1	-5	/		g	i		viio43/V		vii	o	43		V			o7	1	1	1, -2, 7, 4		7	1	0	4	0.0	0.0	0.375	0.0
32	32	0	0	3/4	2	1	V[V					g	i	V	V		V							M	1	1	2, 6, 3		2	2	3	4	0.42857142857142855	0.3125	0.625	0.3333333333333333
32	32	3/16	3/16	3/4	2	1	VI6]					g	i	V	VI6		VI		6					M	1	1	1, -2, -3		-3	1	2	1	0.6666666666666666	0.25	0.125	0.6666666666666666
32	32	5/16	5/16	3/4	2	1	#viio6					g	i		#viio6		#vii	o	6					o	1	1	3, 0, 6		6	3	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
32	32	7/16	7/16	3/4	2	1	iio6					g	i		iio6		ii	o	6					o	1	1	0, -3, 3		3	0	0	1	0.0	0.0	0.0625	0.0
32	32	1/2	1/2	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.0625	0.3125	0.16666666666666666
32	32	5/8	5/8	3/4	2	1	viio43/V	-1	-5	/		g	i		viio43/V		vii	o	43		V			o7	1	1	1, -2, 7, 4		7	1	0	4	0.0	0.0	0.375	0.0
33	33	0	0	3/4	2	1	V[V					g	i	V	V		V							M	1	1	2, 6, 3		2	2	3	4	0.42857142857142855	0.3125	0.625	0.3333333333333333
33	33	3/16	3/16	3/4	2	1	viio43/V					g	i	V	viio43/V		vii	o	43		V			o7	1	1	1, -2, 7, 4		7	1	0	1	0.0	0.0	0.0625	0.0
33	33	1/4	1/4	3/4	2	1	V					g	i	V	V		V							M	1	1	2, 6, 3		2	2	2	5	0.2857142857142857	0.25	0.6875	0.26666666666666666
33	33	7/16	7/16	3/4	2	1	viio43/V					g	i	V	viio43/V		vii	o	43		V			o7	1	1	1, -2, 7, 4		7	1	0	1	0.0	0.0	0.0625	0.0
33	33	1/2	1/2	3/4	2	1	V					g	i	V	V		V							M	1	1	2, 6, 3		2	2	2	5	0.2857142857142857	0.25	0.6875	0.26666666666666666
33	33	11/16	11/16	3/4	2	1	viio43/V	0	-8	/		g	i	V	viio43/V		vii	o	43		V			o7	1	1	1, -2, 7, 4		7	1	0	1	0.0	0.0	0.0625	0.0
34	34	0	0	3/4	2	1	V]\\					g	i	V	V		V						\\	M	1	1	2, 6, 3		2	2	0	7	0.0	0.0	1.75	0.0
35	34	0	3/8	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.375	0.0
35	34	1/8	1/2	3/4	2	1	iio				#viio6	g	i		iio		ii	o						o	1	1	3, 0, -3		3	3	0	3	0.0	0.0	0.375	0.0
35	34	1/4	5/8	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	0	3	0.0	0.0	0.375	0.0
36	35	0	0	3/4	2	1	i(#764)					g	i		i(#764)		i			#764				m	1	1	1, 0, -3	6	1	1	0	4	0.0	0.0	1.0	0.0
36	35	1/4	1/4	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	0	8	0.0	0.0	1.0	0.0
36	35	1/2	1/2	3/4	2	1	iio				#viio6	g	i		iio		ii	o						o	1	1	3, 0, -3		3	3	0	4	0.0	0.0	0.5	0.0
36	35	5/8	5/8	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	0	4	0.0	0.0	0.5	0.0
37	36	0	0	3/4	2	1	i(9#764)					g	i		i(9#764)		i			9#764				m	1	1	1, 0, -3	3, 6	1	1	0	5	0.0	0.0	1.25	0.0
37	36	1/4	1/4	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	0	9	0.0	0.0	1.0	0.0
37	36	1/2	1/2	3/4	2	1	iio				#viio6	g	i		iio		ii	o						o	1	1	3, 0, -3		3	3	1	3	0.25	0.0625	0.3125	0.16666666666666666
37	36	5/8	5/8	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.0625	0.3125	0.16666666666666666
38	37	0	0	3/4	2	1	#viio6					g	i		#viio6		#vii	o	6					o	1	1	3, 0, 6		6	3	1	5	0.16666666666666666	0.0625	1.1875	0.05
38	37	1/4	1/4	3/4	2	1	V[V7					g	i	V	V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	1	4	0.2	0.0625	0.6875	0.08333333333333333
38	37	1/2	1/2	3/4	2	1	i					g	i	V	i		i							m	1	1	1, -2, 2		1	1	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
39	38	0	0	3/4	2	1	V7					g	i	V	V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	2	10	0.16666666666666666	0.125	2.125	0.05555555555555555
39	38	1/2	1/2	3/4	2	1	i					g	i	V	i		i							m	1	1	1, -2, 2		1	1	0	6	0.0	0.0	0.75	0.0
40	39	0	0	3/4	2	1	V7					g	i	V	V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	2	10	0.16666666666666666	0.125	2.125	0.05555555555555555
40	39	1/2	1/2	3/4	2	1	i					g	i	V	i		i							m	1	1	1, -2, 2		1	1	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
41	40	0	0	3/4	2	1	V\\					g	i	V	V		V						\\	M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
41	40	5/8	5/8	3/4	2	1	V]					g	i	V	V		V							M	1	1	2, 6, 3		2	2	2	4	0.3333333333333333	0.5	0.5	0.5
42	41	1/8	1/8	3/4	2	1	iv					g	i		iv		iv							m	1	1	0, -3, 1		0	0	2	2	0.5	0.5	0.5	0.5
42	41	3/8	3/8	3/4	2	1	#viio6					g	i		#viio6		#vii	o	6					o	1	1	3, 0, 6		6	3	2	2	0.5	0.5	0.5	0.5
42	41	5/8	5/8	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	2	4	0.3333333333333333	0.5	0.5	0.5
43	42	1/8	1/8	3/4	2	1	iio6					g	i		iio6		ii	o	6					o	1	1	0, -3, 3		3	0	0	4	0.0	0.0	1.0	0.0
43	42	3/8	3/8	3/4	2	1	iv6					g	i		iv6		iv		6					m	1	1	-3, 1, 0		0	-3	2	2	0.5	0.5	0.5	0.5
43	42	5/8	5/8	3/4	2	1	#viio6/iv	0	-7.3	/		g	i		#viio6/iv		#vii	o	6		iv			o	1	1	2, -1, 5		5	2	0	6	0.0	0.0	1.0	0.0
44	43	1/8	1/8	3/4	2	1	#viio64/iv					g	i		#viio64/iv		#vii	o	64		iv			o	1	1	-1, 5, 2		5	-1	2	2	0.5	0.5	0.5	0.5
44	43	3/8	3/8	3/4	2	1	iv6					g	i		iv6		iv		6					m	1	1	-3, 1, 0		0	-3	0	4	0.0	0.0	1.0	0.0
44	43	5/8	5/8	3/4	2	1	iv					g	i		iv		iv							m	1	1	0, -3, 1		0	0	2	4	0.3333333333333333	0.5	0.5	0.5
45	44	1/8	1/8	3/4	2	1	V					g	i		V		V							M	1	1	2, 6, 3		2	2	2	2	0.5	0.5	0.5	0.5
45	44	3/8	3/8	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	0	4	0.0	0.0	1.0	0.0
45	44	5/8	5/8	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	2	4	0.3333333333333333	0.5	0.5	0.5
46	45	1/8	1/8	3/4	2	1	iio6					g	i		iio6		ii	o	6					o	1	1	0, -3, 3		3	0	0	4	0.0	0.0	1.0	0.0
46	45	3/8	3/8	3/4	2	1	iio					g	i		iio		ii	o						o	1	1	3, 0, -3		3	3	2	2	0.5	0.5	0.5	0.5
46	45	5/8	5/8	3/4	2	1	V					g	i		V		V							M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
47	46	0	0	3/4	2	1	i\\					g	i		i		i						\\	m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.0	0.0
47	46	3/8	3/8	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.375	0.0
47	46	1/2	1/2	3/4	2	1	iio				#viio6	g	i		iio		ii	o						o	1	1	3, 0, -3		3	3	0	3	0.0	0.0	0.375	0.0
47	46	5/8	5/8	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	0	3	0.0	0.0	0.375	0.0
48	47	0	0	3/4	2	1	i(#764)					g	i		i(#764)		i			#764				m	1	1	1, 0, -3	6	1	1	0	4	0.0	0.0	1.0	0.0
48	47	1/4	1/4	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	0.5	0.0
48	47	3/8	3/8	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	0	3	0.0	0.0	0.375	0.0
48	47	1/2	1/2	3/4	2	1	#viio6					g	i		#viio6		#vii	o	6					o	1	1	3, 0, 6		6	3	0	4	0.0	0.0	0.5	0.0
48	47	5/8	5/8	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	0.5	0.0
49	48	0	0	3/4	2	1	V65					g	i		V65		V		65					Mm7	1	1	6, 3, 0, 2		2	6	0	5	0.0	0.0	1.0	0.0
49	48	1/4	1/4	3/4	2	1	i\\					g	i		i		i						\\	m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	0.5	0.0
49	48	3/8	3/8	3/4	2	1	i					g	i		i		i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.375	0.0
49	48	1/2	1/2	3/4	2	1	VI.ii6					g	VI		ii6		ii		6					m	1	0	-4, 0, -1		-1	-4	0	3	0.0	0.0	0.375	0.0
49	48	5/8	5/8	3/4	2	1	vii%7/V	0	-7.5	/		g	VI		vii%7/V		vii	%	7		V			%7	1	0	3, 0, -3, 1		3	3	0	3	0.0	0.0	0.375	0.0
50	49	0	0	3/4	2	1	V					g	VI		V		V							M	1	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.75	0.0
50	49	1/4	1/4	3/4	2	1	I					g	VI		I		I							M	1	0	-3, 1, -2		-3	-3	0	3	0.0	0.0	0.375	0.0
50	49	3/8	3/8	3/4	2	1	I6					g	VI		I6		I		6					M	1	0	1, -2, -3		-3	1	0	3	0.0	0.0	0.375	0.0
50	49	1/2	1/2	3/4	2	1	viio6					g	VI		viio6		vii	o	6					o	1	0	-1, -4, 2		2	-1	0	4	0.0	0.0	0.5	0.0
50	49	5/8	5/8	3/4	2	1	I					g	VI		I		I							M	1	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.5	0.0
51	50	0	0	3/4	2	1	V65					g	VI		V65		V		65					Mm7	1	0	2, -1, -4, -2		-2	2	0	5	0.0	0.0	1.0	0.0
51	50	1/4	1/4	3/4	2	1	I\\					g	VI		I		I						\\	M	1	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.5	0.0
51	50	3/8	3/8	3/4	2	1	I					g	VI		I		I							M	1	0	-3, 1, -2		-3	-3	2	2	0.5	0.125	0.125	0.5
51	50	5/8	5/8	3/4	2	1	III.V65/V	0	-8	/		g	III		V65/V		V		65		V			Mm7	1	0	4, 1, -2, 0		0	4	0	4	0.0	0.0	0.375	0.0
52	51	0	0	3/4	2	1	V					g	III		V		V							M	1	0	-1, 3, 0		-1	-1	3	8	0.2727272727272727	0.1875	0.9375	0.16666666666666666
52	51	5/8	5/8	3/4	2	1	V65					g	III		V65		V		65					Mm7	1	0	3, 0, -3, -1		-1	3	0	4	0.0	0.0	0.375	0.0
53	52	0	0	3/4	2	1	I					g	III		I		I							M	1	0	-2, 2, -1		-2	-2	3	8	0.2727272727272727	0.1875	0.9375	0.16666666666666666
